Aishe Code,Name,State,District,Website,Year Of Establishment,Location,College Type,Manegement,University Name,University Type
C-74193,VIDYAPATI INSTITUTE OF HIGHER EDUCATION,Bihar,Samastipur,www.skmgi.in,2022,Urban,Affiliated College,Private Un-Aided,Bihar University of Health Sciences,State Public University
C-64262,SHRI SAI COLLEGE OF NURSING AND PARAMEDICAL,Bihar,Patna,-,-,-,Affiliated College,-,Bihar University of Health Sciences,State Public University
C-74155,SHAHI INSTITUTE OF BUSINESS MANAGEMENT    ,Bihar,Siwan,www.sibm.in,2024,Urban,Affiliated College,Private Un-Aided,"Aryabhatta Knoweledge University , Patna",State Public University
C-66729,SWAMI VIVEKANAND NURSING SCHOOL,Bihar,Jamui,https://svns.in/,-,Rural,Affiliated College,Private Un-Aided,Bihar University of Health Sciences,State Public University
C-12917,"S.G.G.S. college, Patnacity",Bihar,Patna,www.sggscollegepatnacity.ac.in,1960,Urban,Constituent / University College,University,"PATLIPUTRA UNIVERSITY, PATNA",State Public University
C-58002,Sri Ramchand Ram Laxmi Narayan Teachers Training College,Bihar,Jehanabad,srrlnttc.org,2015,Urban,Affiliated College,Private Aided (Government Aided),"Magadh University, Bodh Gaya",State Public University
C-58000,Maa Kamla Chandrika Jee Teachers Training College,Bihar,Jehanabad,http://mkcjttc.org/,2008,Urban,Affiliated College,Private Un-Aided,"Magadh University, Bodh Gaya",State Public University
C-12844,L.P.Sahi College,Bihar,Patna,https://lpshahicollege.ac.in/,1980,Urban,Affiliated College,State Government,"PATLIPUTRA UNIVERSITY, PATNA",State Public University
C-59518,Shanti Memorial College of Education,Bihar,Nalanda,www.snct.org.in,2014,Rural,Affiliated College,Private Un-Aided,"PATLIPUTRA UNIVERSITY, PATNA",State Public University
C-59808,RURAL TEACHERS TRAINING COLLEGE,Bihar,Nalanda,www.ruralttcollege.in,2015,Rural,Affiliated College,Private Aided (Government Aided),"PATLIPUTRA UNIVERSITY, PATNA",State Public University
C-59620,L.N.M. College of Higher Education,Bihar,Patna,www.lnmcollegepatna.com,2016,Rural,Affiliated College,Private Aided (Government Aided),"PATLIPUTRA UNIVERSITY, PATNA",State Public University
C-59512,Tagore Teachers Training College,Bihar,Patna,www.tagorettc.com,2016,Rural,Affiliated College,Private Un-Aided,"PATLIPUTRA UNIVERSITY, PATNA",State Public University
C-56372,Chanakya Foundation,Bihar,Patna,www.chanakayafoundation.com,2015,Urban,Affiliated College,Private Un-Aided,"Aryabhatta Knoweledge University , Patna",State Public University
C-56371,MOTHERS INTERNATIONAL TECHNICAL AND MANAGEMENT INSTITUTE,Bihar,Patna,-,-,Urban,Recognized Center,Private Aided (Government Aided),"Maulana Mazharul Haque Arabic & Persian University, Patna",State Public University
C-59625,ALI NAGAR PALI MANAGEMENT COLLEGE ,Bihar,Jehanabad,-,-,Rural,Recognized Center,University,"Maulana Mazharul Haque Arabic & Persian University, Patna",State Public University
C-59626,late kamta prasad sharma B.Ed. college,Bihar,Jehanabad,https://www.lkpbedcollege.in,2011,Rural,Affiliated College,Private Un-Aided,"Magadh University, Bodh Gaya",State Public University
C-27131,"G.B. Balika Vidyapith, Ramgarh",Bihar,Kaimur (Bhabua),grambhartibalikavidiyapith.in,-,Urban,Affiliated College,University,"Veer Kunwar Singh University, Arrah",State Public University
C-29641,"B.S. College, Simraha",Bihar,Saharsa,www.bscollegesimrahasaharsa.in,1981,Urban,Affiliated College,University,"Bhupendra Narayan Mandal University, Madhepura",State Public University
C-71438,"INDIAN INSTITUTE OF BUSINESS MANAGEMENT, PATNA",Bihar,Patna,www.iibm.in,-,Urban,Affiliated College,Private Un-Aided,"Aryabhatta Knoweledge University , Patna",State Public University
C-59523,"Nalanda T T College, Biharsharif",Bihar,Nalanda,www.nalandattc.com,2006,Rural,Affiliated College,Private Un-Aided,"PATLIPUTRA UNIVERSITY, PATNA",State Public University
C-59524,Nalanda Mahila Shikshak Prashikshan Mahavidyalaya,Bihar,Nalanda,www.nalandawttc.com,2009,Rural,Affiliated College,Private Un-Aided,"PATLIPUTRA UNIVERSITY, PATNA",State Public University
C-29642,"S.N.S. Mahila College, Supaul",Bihar,Supaul,https://snsmahilacollegesupaul.in/,1979,Urban,Affiliated College,Private Aided (Government Aided),"Bhupendra Narayan Mandal University, Madhepura",State Public University
C-58829,Balmiki Teachers Training College,Bihar,Vaishali,www.balmikiteacherstrainingcollege.com,2012,Rural,Affiliated College,Private Un-Aided,"Babasaheb Bhimrao Ambedkar Bihar University, Muzaffarpur",State Public University
C-73974,J P COLLEGE OF NURSING,Bihar,Samastipur,https://jpcollegeofnursing.com,2022,Urban,Affiliated College,Private Un-Aided,Bihar University of Health Sciences,State Public University
C-65527,DR. R. B. SINGH GAYA HOMOEOPATHIC MEDICAL COLLEGE AND HOSPITAL,Bihar,Gaya,www.drrbsinghghmchgaya.org,1967,Rural,Affiliated College,Private Un-Aided,"Babasaheb Bhimrao Ambedkar Bihar University, Muzaffarpur",State Public University
C-60839,Aryabhatta Teachers Training College,Bihar,Patna,attcpatna.com,2016,Rural,Affiliated College,Private Un-Aided,"Maulana Mazharul Haque Arabic & Persian University, Patna",State Public University
C-65529,SRI BHAGWAT PRASAD SINGH MEMORIAL INSTITUTE OF HIGHER EDUCATION,Bihar,Aurangabad,www.sbpsmiheducation.com,2019,Rural,Affiliated College,Private Un-Aided,"Magadh University, Bodh Gaya",State Public University
C-29573,"Katihar  Medical College, Katihar",Bihar,Katihar,www.kmckatihar.org,1987,Urban,Constituent / University College,Private Un-Aided,AL-KARIM UNIVERSITY,State Private University
C-65530,KENT HOMOEOPATHIC MEDICAL COLLEGE AND HOSPITAL,Bihar,Vaishali,WWW.KHMCHHAJIPUR.COM,1968,Rural,Affiliated College,Private Un-Aided,"Babasaheb Bhimrao Ambedkar Bihar University, Muzaffarpur",State Public University
C-60838,NATIONAL B.ED. COLLEGE OF HIGHER EDUCATION,Bihar,Patna,www.nbccolleges.com,2014,Rural,Affiliated College,Private Aided (Government Aided),"Maulana Mazharul Haque Arabic & Persian University, Patna",State Public University
C-60837,SHAKUNI CHOUDHARY COLLEGE OF EDUCATION,Bihar,Munger,www.successwet.com,2017,Rural,Affiliated College,University,"Maulana Mazharul Haque Arabic & Persian University, Patna",State Public University
C-53018,Srikant Sanskrit Mahavidyalaya Shikshan Kalyan Sansthan,Bihar,Kaimur (Bhabua),-,2003,Rural,Affiliated College,Private Un-Aided,"Sampurnanand Sanskrit Vishwavidyalaya,  Varanasi",State Public University
C-74136,PATNA COLLEGE OF PHARMACY,Bihar,Patna,www.pcop.co.in,2020,Urban,Affiliated College,Private Un-Aided,Bihar University of Health Sciences,State Public University
C-59004,Harakhdeo Singh College of Education,Bihar,Nalanda,www.hdscollegeofeducation.in,2016,Rural,Affiliated College,Private Un-Aided,"Aryabhatta Knoweledge University , Patna",State Public University
C-65531,DR. HALIM HOMOEOPATHIC MEDICAL COLLEGE  HOSPITAL,Bihar,Darbhanga,www.drhalimhmch.com,1998,Rural,Affiliated College,Private Un-Aided,"Babasaheb Bhimrao Ambedkar Bihar University, Muzaffarpur",State Public University
C-59109,M.B.COLLEGE OF EDUCATION,Bihar,Darbhanga,www.mbedu.org,2015,Rural,Affiliated College,Private Un-Aided,"Lalit Narayan Mithila University, Darbhanga",State Public University
C-59121,Regional College of Education,Bihar,Gaya,www.rcegaya.in,2011,Rural,Affiliated College,Private Un-Aided,"Magadh University, Bodh Gaya",State Public University
