Aishe Code,Name,State,District,Website,Year Of Establishment,Location,College Type,Manegement,University Name,University Type
C-50934,ANDAMAN COLLEGE (ANCOL),Andaman and Nicobar Islands,South Andamans,www.ancol.andaman.gov.in,2014,Urban,Affiliated College,State Government,"Pondicherry Univeristy, Puducherry",Central University
C-6528,Dr.B.R. Ambedkar Institute of Technology,Andaman and Nicobar Islands,South Andamans,http://dbragpt.andaman.gov.in,1984,Urban,Affiliated College,Central Government,"Pondicherry Univeristy, Puducherry",Central University
C-6498,Jawaharlal Nehru Rajkeeya  Mahavidyalaya,Andaman and Nicobar Islands,South Andamans,jnrm.and.nic.in,1967,Urban,Affiliated College,State Government,"Pondicherry Univeristy, Puducherry",Central University
C-6574,Tagore Government College of Education,Andaman and Nicobar Islands,South Andamans,www.tgce.and.nic.in,1981,Urban,Affiliated College,State Government,"Pondicherry Univeristy, Puducherry",Central University
C-6560,Zoological Survey of India,Andaman and Nicobar Islands,Nicobars,www.zsi.gov.in,1977,Urban,Affiliated College,Central Government,"Pondicherry Univeristy, Puducherry",Central University
C-63976,ANDAMAN LAW COLLEGE,Andaman and Nicobar Islands,South Andamans,https://andamanlawcollege.andaman.gov.in,2016,Urban,Affiliated College,State Government,"Pondicherry Univeristy, Puducherry",Central University
C-60180,Andaman and Nicobar inslands Institute of medical sciences,Andaman and Nicobar Islands,South Andamans,www.aniims.org,2015,Urban,Affiliated College,Central Government,"Pondicherry Univeristy, Puducherry",Central University
C-6547,Mahatma Gandhi Govt. College,Andaman and Nicobar Islands,North and Middle Andaman,http://mggcm.and.nic.in,1990,Rural,Affiliated College,State Government,"Pondicherry Univeristy, Puducherry",Central University
C-6575,Regional Medical Research Institute (I.C.M.R.),Andaman and Nicobar Islands,Nicobars,http://www.rmrc.res.in,1983,Urban,Affiliated College,Central Government,"Pondicherry Univeristy, Puducherry",Central University
C-26890,"Ashoka Women's Engineering College, Kurnool",Andhra Pradesh,Kurnool,www.ashokacollege.in,2008,Rural,Affiliated College,Private Un-Aided,"Jawaharlal Nehru Technological University, Anantapur",State Public University
C-26891,"Safa College of Pharmacy, Kurnool",Andhra Pradesh,Kurnool,www.safapharma.com,2004,Rural,Affiliated College,Private Un-Aided,"Jawaharlal Nehru Technological University, Anantapur",State Public University
C-26892,Kandula Lakshumma College of Egg. for Women,Andhra Pradesh,Y.S.R.,www.klmcew.ac.in,2008,Rural,Affiliated College,Private Un-Aided,"Jawaharlal Nehru Technological University, Anantapur",State Public University
C-26894,"Saastra College of Pharmaceutical Educational & Research, Guduru.",Andhra Pradesh,Sri Potti Sriramulu Nellore,www.saastracollege.com,2007,Rural,Affiliated College,Private Un-Aided,"Jawaharlal Nehru Technological University, Anantapur",State Public University
C-55315,"Sri Sai Aditya Degree College, Ponduru",Andhra Pradesh,Srikakulam,www.sri sai aditya degree college ponduru.,2014,Rural,Affiliated College,Private Un-Aided,"Dr.B.R.Ambedkar University, Etcherla",State Public University
C-61026,PYDAH COLLEGE OF PHARMACY,Andhra Pradesh,Kakinada,www.pydahpharmacy.edu.in,2007,Rural,Affiliated College,Private Un-Aided,"Andhra University, Visakhapatnam",State Public University
C-72521,"GOVERNMENT MEDICAL COLLEGE, NANDYAL",Andhra Pradesh,Nandyal,https://www.gmcnandyal-ap-gov.com/,2023,Urban,Recognized Center,State Government,"Dr. N.T.R. University of Health Sciences, Vijaywada",State Public University
C-26302,Sri Ramakrishna Degree College (Autonomous),Andhra Pradesh,Kurnool,www.srkdc.org,1984,Urban,Affiliated College,Private Aided (Government Aided),"Rayalaseema, University Kurnool",State Public University
C-26897,"Balaji  College of Pharmacy, Anantapur",Andhra Pradesh,Ananthapuramu,www.balajipharmacy.ac.in,2005,Rural,Affiliated College,Private Aided (Government Aided),"Jawaharlal Nehru Technological University, Anantapur",State Public University
C-27806,"B.T. Government Degree College, Madanapalli",Andhra Pradesh,Annamayya,www.btgdcmpl.ac.in,1915,Urban,Affiliated College,State Government,"Sri Venkateswara University, Tirupathy",State Public University
C-26898,"Vignanasudha Institute of Management &Technology, Chittoor",Andhra Pradesh,Chittoor,www.vignanasudhamba.com,2010,Urban,Affiliated College,Private Un-Aided,"Jawaharlal Nehru Technological University, Anantapur",State Public University
C-26899,"Srinivasa Institute of Pharmaceutical Sciences, Proddutur",Andhra Pradesh,Y.S.R.,WWW.SIPP.CO.IN,2007,Rural,Affiliated College,Private Un-Aided,"Jawaharlal Nehru Technological University, Anantapur",State Public University
C-26901,"Ravindra College of Engineering for Women, kurnool",Andhra Pradesh,Kurnool,www.recw.ac.in,2008,Rural,Affiliated College,Private Un-Aided,"Jawaharlal Nehru Technological University, Anantapur",State Public University
C-26872,"Sree Rama Engineering College, Tirupati",Andhra Pradesh,Chittoor,www.sreerama.ac.in,2008,Rural,Affiliated College,Private Un-Aided,"Jawaharlal Nehru Technological University, Anantapur",State Public University
C-24015,Vagdevi Degree College,Andhra Pradesh,Vizianagaram,vagdeviinstitutions.com,2005,Rural,Affiliated College,Private Un-Aided,"Andhra University, Visakhapatnam",State Public University
C-44108,"Sri Venkateswara & Sri Satyadev Degree College, Tenali",Andhra Pradesh,Guntur,www.svinstitutions.org,2002,Urban,Affiliated College,Private Un-Aided,"Acharya Nagarjuna University, Guntur",State Public University
C-59271,KAKINADA SRI ADITYA DEGREE COLLEGE ,Andhra Pradesh,Srikakulam,www.aditya.ac.in,2017,Urban,Affiliated College,Private Aided (Government Aided),"Dr.B.R.Ambedkar University, Etcherla",State Public University
C-63729,Govt Degree College For Women Arakuvalley,Andhra Pradesh,Visakhapatnam,gdcwaraku.in,2019,Rural,Affiliated College,State Government,"Andhra University, Visakhapatnam",State Public University
C-24012,M.R. College of Pharmacy,Andhra Pradesh,Vizianagaram,www.mrpharmacy.co.in,2004,Urban,Affiliated College,Private Un-Aided,"Andhra University, Visakhapatnam",State Public University
C-23965,"Government Degree College, Yeleswaram",Andhra Pradesh,Kakinada,www.gdcyeleswaram.ac.in,2009,Rural,Affiliated College,State Government,"Adikavi Nannaya University, Rajahmundry, East Godawari",State Public University
C-26847,"JNTUA College of Engineering, Pulivendula",Andhra Pradesh,Y.S.R.,www.jntuacep.ac.in,2006,Rural,Constituent / University College,State Government,"Jawaharlal Nehru Technological University, Anantapur",State Public University
C-24010,Atchuta Degree College,Andhra Pradesh,Visakhapatnam,www.atchutadegreecollege.edu.in,2008,Rural,Affiliated College,Private Un-Aided,"Andhra University, Visakhapatnam",State Public University
C-24007,Shri Vishnu College Of Pharmacy,Andhra Pradesh,West Godavari,www.svcp.edu.in,1997,Rural,Affiliated College,Private Un-Aided,"Andhra University, Visakhapatnam",State Public University
C-26912,Sri Sai College of  IT & Management,Andhra Pradesh,Y.S.R.,www.scitkadapa.in,2007,Rural,Affiliated College,Private Un-Aided,"Jawaharlal Nehru Technological University, Anantapur",State Public University
C-24001,Raghu College Of Pharmacy,Andhra Pradesh,Visakhapatnam,https://www.raghupharmacy.com,2007,Rural,Affiliated College,Private Un-Aided,"Andhra University, Visakhapatnam",State Public University
C-23999,"Sri Adi Narayana Mahila Kalasala, Anakapalle",Andhra Pradesh,Visakhapatnam,www.samk.edu,1976,Urban,Affiliated College,Private Un-Aided,"Andhra University, Visakhapatnam",State Public University
C-26291,"SGTRM Govt. Degree College, Yerraguntla",Andhra Pradesh,Nandyal,www.gtrmgdcygl.nic.in,2008,Rural,Affiliated College,State Government,"Rayalaseema, University Kurnool",State Public University
C-30394,PES INSTITUTE OF MEDICAL SCIENCES AND RESEARCH,Andhra Pradesh,Chittoor,www.pesimsr.pes.edu,2001,Rural,Affiliated College,Private Aided (Government Aided),"Dr. N.T.R. University of Health Sciences, Vijaywada",State Public University
