Aishe Code,Name,State,District,Website,Year Of Establishment,Location,College Type,Manegement,University Name,University Type
C-61408,MILLIA TEACHERS TRAINING COLLEGE RADHANAGAR KASBA PURNEA,Bihar,Purnia,www.milliattc.org.in,2016,Rural,Affiliated College,State Government,"PURNEA UNIVERSITY, PURNIA",State Public University
C-73733,USHA INSTITUTE OF PROFESSIONAL EDUCATION    ,Bihar,Purbi Champaran,https://uipe.org.in/,2022,Rural,Affiliated College,Private Un-Aided,"Aryabhatta Knoweledge University , Patna",State Public University
C-73734,"SHUKDEO MUKHLAL DEGREE COLLEGE, HAJIPUR, VAISHALI",Bihar,Vaishali,-,2021,Urban,Affiliated College,Private Un-Aided,"Babasaheb Bhimrao Ambedkar Bihar University, Muzaffarpur",State Public University
C-73750,RAHMANIA INSTITUTE OF NURSING AND PARAMEDICAL SCIENCE MOTIHARI EAST CHAMPARAN     ,Bihar,Purbi Champaran,https://rahmaniainstitutes.com,2023,Urban,Affiliated College,Private Un-Aided,Bihar University of Health Sciences,State Public University
C-61412,VEDANT INSTITUTE OF EDUCATION  AND TECHNOLOGY,Bihar,Vaishali,www.vedantcollege.co.in,2011,Rural,Affiliated College,Private Un-Aided,"Babasaheb Bhimrao Ambedkar Bihar University, Muzaffarpur",State Public University
C-49572,Cimage Professional College,Bihar,Patna,https://cimage.in/cimage-professional-college,2013,Urban,Affiliated College,Private Un-Aided,"Aryabhatta Knoweledge University , Patna",State Public University
C-61821,RAVIKANT PUNAM MAHAVIDYALAYA,Bihar,Nawada,ravikantpunamcollege.org,2011,Rural,Affiliated College,Private Aided (Government Aided),"Magadh University, Bodh Gaya",State Public University
C-61820,Sanjay Sinha BEd College,Bihar,Patna,www.ssbedcollege.com,2015,Rural,Affiliated College,Private Un-Aided,"PATLIPUTRA UNIVERSITY, PATNA",State Public University
C-61819,SAI B Ed D El Ed COLLEGE,Bihar,Rohtas,www.saibedcollege.com,2015,Rural,Affiliated College,Private Un-Aided,"Maulana Mazharul Haque Arabic & Persian University, Patna",State Public University
C-61413,R G COLLEGE OF EDUCATION ,Bihar,Vaishali,www.rgitvaishali.org,2017,Rural,Affiliated College,Private Un-Aided,"Babasaheb Bhimrao Ambedkar Bihar University, Muzaffarpur",State Public University
C-61414,Baidyanath Shukla College of Education,Bihar,Vaishali,www.bsce.ac.in,2018,Rural,Affiliated College,Private Un-Aided,"Babasaheb Bhimrao Ambedkar Bihar University, Muzaffarpur",State Public University
C-61415,R P S TEACHERS TRAINING COLLEGE ,Bihar,Muzaffarpur,rpsttc.in,2017,Rural,Affiliated College,Private Un-Aided,"Babasaheb Bhimrao Ambedkar Bihar University, Muzaffarpur",State Public University
C-61416,Millia Kaniz Fatma Womens Teachers Training College,Bihar,Purnia,www.milliakanizfatma.com,2018,Urban,Affiliated College,Private Un-Aided,"PURNEA UNIVERSITY, PURNIA",State Public University
C-49579,KGI School of Education,Bihar,Patna,www.kgibihta.com,2014,Rural,Affiliated College,Private Un-Aided,"Aryabhatta Knoweledge University , Patna",State Public University
C-73191,"MAHARANI GEETA PRABHAT DEGREE MAHAVIDYALAYA, BHIKHANPURA, MAHNAR, VAISHALI    ",Bihar,Vaishali,mgpdegreecollege.in,2021,Rural,Affiliated College,Private Un-Aided,"Babasaheb Bhimrao Ambedkar Bihar University, Muzaffarpur",State Public University
C-74403,"DR INDIRA INSTITUTE OF NURSING AND PARAMEDICAL, MUZAFFARPUR",Bihar,Muzaffarpur,WWW.DRIINP.IN,2019,Rural,Affiliated College,Private Un-Aided,Bihar University of Health Sciences,State Public University
C-73127,BHAGWAN MAHAVEER MAHAVIDYALAYA    ,Bihar,Muzaffarpur,-,2021,Rural,Affiliated College,Private Un-Aided,"Babasaheb Bhimrao Ambedkar Bihar University, Muzaffarpur",State Public University
C-65142,ER UPENDRA SHARMA TEACHERS TRAINING COLLEGE ,Bihar,Purbi Champaran,www.erusttcollege.com,2018,Rural,Affiliated College,Private Un-Aided,"Babasaheb Bhimrao Ambedkar Bihar University, Muzaffarpur",State Public University
C-65147,SHREE MAHADEO PRASAD COLLEGE,Bihar,Gaya,www.smpcollege.in,2012,Rural,Affiliated College,University,"Magadh University, Bodh Gaya",State Public University
C-8718,C. M. Law College,Bihar,Darbhanga,www.cmlc.in,1945,Urban,Constituent / University College,University,"Lalit Narayan Mithila University, Darbhanga",State Public University
C-8771,G.D. College,Bihar,Begusarai,www.gdcollegebegusarai.com,1945,Urban,Constituent / University College,University,"Lalit Narayan Mithila University, Darbhanga",State Public University
C-51749,CHETAN SADHAN INSTITUTE OF SCIENCE AND TECHNOLOGY,Bihar,Muzaffarpur,www.csist.org,1998,Urban,Recognized Center,Private Un-Aided,"Maulana Mazharul Haque Arabic & Persian University, Patna",State Public University
C-64465,RAJKIYA DEGREE MAHAVIDYALAYA PAKRIDAYAL EAST CHAMAPARAN,Bihar,Purbi Champaran,www.gdcp.ac.in,2019,Rural,Constituent / University College,State Government,"Babasaheb Bhimrao Ambedkar Bihar University, Muzaffarpur",State Public University
C-8765,Dr. APJ Abdul Kalam Women's Institute of Technology,Bihar,Darbhanga,www.witlnmu.ac.in,2004,Urban,Affiliated College,University,"Lalit Narayan Mithila University, Darbhanga",State Public University
C-62090,RAGHU SAROJ WELFARE AND CHARITABLE TRUST,Bihar,Jehanabad,www.rswct.com,2012,Urban,Affiliated College,Private Un-Aided,"Magadh University, Bodh Gaya",State Public University
C-73088,"SHIVGOVIND NANDLAL SINGH DEGREE MAHAVIDYALAYA, SIKRAUL LOCK, DAFADIHARI, BUXAR    ",Bihar,Buxar,snsinghcollege.org.in,2023,Rural,Affiliated College,Private Un-Aided,"Veer Kunwar Singh University, Arrah",State Public University
C-61588,PREMLATA MADAN MOHAN COLLEGE OF EDUCATION,Bihar,Nalanda,www.pmmcollegeofeducation.com,2017,Rural,Affiliated College,Private Aided (Government Aided),"Maulana Mazharul Haque Arabic & Persian University, Patna",State Public University
C-61589,Janardan Prasad Singh Teachers Training College,Bihar,Saran,www.jpsttcdaudpur.com,2016,Rural,Affiliated College,Private Un-Aided,"Aryabhatta Knoweledge University , Patna",State Public University
C-10244,"College of Community  Science,Pusa",Bihar,Samastipur,www.rpcau.ac.in,1982,Rural,Constituent / University College,Central Government,"Dr Rajendra Prasad Central Agricultural University, Samastipur",Central University
C-67416,BRADFORD INTERNATIONAL BUSINESS SCHOOL,Bihar,Patna,www.bibspatna.com,2021,Urban,Affiliated College,Private Un-Aided,"Aryabhatta Knoweledge University , Patna",State Public University
C-65522,MONA SCHOOL OF NURSING AND PARAMEDICAL COLLEGE,Bihar,Patna,-,-,-,Affiliated College,-,Bihar University of Health Sciences,State Public University
