Aishe Code,Name,State,District,Website,Year Of Establishment,Location,College Type,Manegement,University Name,University Type
C-39265,"Krishnaveni Degree College for Women, Narasaraopeta",Andhra Pradesh,Guntur,https://kvdcnrt.com,2018,Urban,Affiliated College,Private Un-Aided,"Acharya Nagarjuna University, Guntur",State Public University
C-60718,SUN SENORA BEACH CAMPUS,Andhra Pradesh,Visakhapatnam,www.sun.edu.in,2018,Urban,Affiliated College,Private Un-Aided,"Andhra University, Visakhapatnam",State Public University
C-57167,Nalanda Degree College Hanumapuram Yemmiganur,Andhra Pradesh,Kurnool,www.nalandaygr.com,2014,Rural,Affiliated College,Private Un-Aided,"Rayalaseema, University Kurnool",State Public University
C-57164,sree chaitanya degree college kavali,Andhra Pradesh,Sri Potti Sriramulu Nellore,www.sreechaitanyadegreecollegekavali.com,2016,Urban,Affiliated College,Private Un-Aided,"Vikram Simhapuri University, Nellore",State Public University
C-27778,"Kuppam Degree College, Kuppam",Andhra Pradesh,Chittoor,www.kdc.ac.in,2010,Rural,Affiliated College,Private Un-Aided,"Sri Venkateswara University, Tirupathy",State Public University
C-60725,CHANAKYA COLLEGE OF EDUCATION,Andhra Pradesh,Vizianagaram,www.chanakyabed.com,2016,Urban,Affiliated College,Private Un-Aided,"Andhra University, Visakhapatnam",State Public University
C-27828,"CVS Krishna Teja College of Education, Renigunta Road, Tirupati",Andhra Pradesh,Chittoor,www.cvskrishnathejaded.com,2007,Rural,Affiliated College,Private Un-Aided,"Sri Venkateswara University, Tirupathy",State Public University
C-27827,"Dr.R.C.Reddy Degree College, Tirupati Urban",Andhra Pradesh,Chittoor,www.drrcreddydegreecollege.in,2002,Rural,Affiliated College,Private Un-Aided,"Sri Venkateswara University, Tirupathy",State Public University
C-27826,SRI VENKATESWARA College of  COMMERCE  TIRUPATI Urban,Andhra Pradesh,Chittoor,www.svcctirupati.in,2003,Urban,Affiliated College,Private Un-Aided,"Sri Venkateswara University, Tirupathy",State Public University
C-27825,"SBGR Degree College, Pakala Rural",Andhra Pradesh,Chittoor,WWW.SBGR.PAKALA.COM,2004,Rural,Affiliated College,Private Un-Aided,"Sri Venkateswara University, Tirupathy",State Public University
C-27823,"Royal School of Information & Management, Agarala Village, Tirupati",Andhra Pradesh,Chittoor,www.royalbschool.com,2007,Rural,Affiliated College,Private Un-Aided,"Sri Venkateswara University, Tirupathy",State Public University
C-27822,"ASRR Degree College, Pachikapallam, Rural",Andhra Pradesh,Chittoor,WWW.ASRCOLLEGE.IN,2009,Rural,Affiliated College,Private Un-Aided,"Sri Venkateswara University, Tirupathy",State Public University
C-27819,"DBB Institute of PG Studies, Puttur",Andhra Pradesh,Chittoor,vedanarayana.dbbn.in,2008,Rural,Affiliated College,Private Un-Aided,"Sri Venkateswara University, Tirupathy",State Public University
C-27818,Vivekananda   Degree College   CHITTOOR Urban,Andhra Pradesh,Chittoor,www.vivekanandadc2005.com,2005,Urban,Affiliated College,Private Un-Aided,"Sri Venkateswara University, Tirupathy",State Public University
C-27817,"Mother Theresa Degree College, Palamaner Rural",Andhra Pradesh,Chittoor,www.mtideg.edu.in,2001,Rural,Affiliated College,Private Un-Aided,"Sri Venkateswara University, Tirupathy",State Public University
C-27815,"Sri Vijetha Degree College, Chittor  Urban",Andhra Pradesh,Chittoor,www.vijethadcctr.com,2005,Urban,Affiliated College,Private Un-Aided,"Sri Venkateswara University, Tirupathy",State Public University
C-27814,"Emeralds Degree College, Tirupati Urban",Andhra Pradesh,Chittoor,emeraldsedu.in,2000,Urban,Affiliated College,Private Un-Aided,"Sri Venkateswara University, Tirupathy",State Public University
C-32762,"Andhra Christian College, Guntur",Andhra Pradesh,Guntur,www.accollegeguntur.com,1885,Urban,Affiliated College,Private Aided (Government Aided),"Acharya Nagarjuna University, Guntur",State Public University
C-27811,"Dr. Kunchala Rajarathnam Christian  Degree College, Jeevagram, Renigunta Rural",Andhra Pradesh,Chittoor,www.drkrccolleges.com,2000,Rural,Affiliated College,Private Un-Aided,"Sri Venkateswara University, Tirupathy",State Public University
C-27810,Oxford Degree College 5-662 Santa Maidanam Srikalahasti Chittoor Dist-Urban,Andhra Pradesh,Chittoor,oxfordksht.org,2008,Urban,Affiliated College,Private Un-Aided,"Sri Venkateswara University, Tirupathy",State Public University
C-27809,"Sri Srinivasa Degree College, Madanapalle Urban",Andhra Pradesh,Chittoor,https://www.srisrinivasadegreecollege.in/,2002,Urban,Affiliated College,Private Un-Aided,"Sri Venkateswara University, Tirupathy",State Public University
C-27808,"K.K.C. College of Law, Puttur",Andhra Pradesh,Chittoor,www.kkclaw.org,2009,Rural,Affiliated College,Private Un-Aided,"Sri Venkateswara University, Tirupathy",State Public University
C-27807,"Sri Sreenivasa Degree  College, Somala Rural",Andhra Pradesh,Chittoor,www.ssdcs.in,2009,Rural,Affiliated College,Private Un-Aided,"Sri Venkateswara University, Tirupathy",State Public University
C-57160,HARINADHA REDDY INSTITUTE OF MANAGEMENT SCIENCES,Andhra Pradesh,Chittoor,www.himsmba.org,2010,Rural,Affiliated College,Private Aided (Government Aided),"Sri Venkateswara University, Tirupathy",State Public University
C-27805,"Govt. Degree      College,      PUTTUR Rural",Andhra Pradesh,Tirupati,www.gdcputur.edu.in,1983,Rural,Affiliated College,State Government,"Sri Venkateswara University, Tirupathy",State Public University
C-27801,"CNR Arts & Science College, Piler Rural",Andhra Pradesh,Chittoor,www.cnrinstitutes.org,2002,Rural,Affiliated College,Private Un-Aided,"Sri Venkateswara University, Tirupathy",State Public University
