Aishe Code,Name,State,District,Website,Year Of Establishment,Location,College Type,Manegement,University Name,University Type
C-8407,Nakachari College P.O. Nakachari,Assam,Jorhat,www.nakacharicollege.in,1988,Rural,Affiliated College,State Government,"Dibrugarh University, Dibrugarh",State Public University
C-8405,Demow College P.O. Demow- 785662,Assam,Sivasagar,WWW.DEMOWCOLLEGE.COM,1970,Urban,Affiliated College,State Government,"Dibrugarh University, Dibrugarh",State Public University
C-17269,Dudhnoi College,Assam,Goalpara,www.dudhnoicollege.ac.in,1972,Rural,Affiliated College,State Government,"Gauhati University, Guwahati",State Public University
C-8404,PGT College Dhemaji P.O. Dhemaji-787057,Assam,Dhemaji,dhemajipgtcollege.org,1991,Urban,Affiliated College,State Government,"Dibrugarh University, Dibrugarh",State Public University
C-8364,Patsaku College P.O. Patsaku,Assam,Charaideo,www.patsakucollege.com,1994,Rural,Affiliated College,Local Body,"Dibrugarh University, Dibrugarh",State Public University
C-8354,Moran College P.O. Moran-785670,Assam,Charaideo,www.morancollege.com,1964,Urban,Affiliated College,State Government,"Dibrugarh University, Dibrugarh",State Public University
C-8403,CNB College P.O. Bokakhat- 785612,Assam,Golaghat,www.cnbcollege.in,1995,Urban,Affiliated College,State Government,"Dibrugarh University, Dibrugarh",State Public University
C-63323,College of Teacher Education Dhakuakhana,Assam,Lakhimpur,https://ctedhakuakhana.org.in/,1998,Urban,Recognized Center,Private Aided (Government Aided),"Dibrugarh University, Dibrugarh",State Public University
C-8402,D.D.R. College P.O. Chabua-786184,Assam,Dibrugarh,www.ddrcollege.in,1971,Rural,Affiliated College,State Government,"Dibrugarh University, Dibrugarh",State Public University
C-8401,Makum College Makum Junction Tinsukia,Assam,Tinsukia,makumcollege.edu.in,1997,Rural,Affiliated College,University,"Dibrugarh University, Dibrugarh",State Public University
C-8400,College of Teacher Education P.O Golaghat,Assam,Golaghat,www.ctegolaghat.co.in,1990,Rural,Affiliated College,State Government,"Dibrugarh University, Dibrugarh",State Public University
C-8448,"Pithubar College, Khowang",Assam,Dibrugarh,www.pithubarcollege.org,1989,Rural,Affiliated College,State Government,"Dibrugarh University, Dibrugarh",State Public University
C-8469,Digboi Mahila Mahavidyalaya P.O. Digboi-786171,Assam,Tinsukia,www.digboimahilamahavidyalaya.org,1981,Rural,Affiliated College,State Government,"Dibrugarh University, Dibrugarh",State Public University
C-48745,"ASIAN INSTITUTE OF PARAMEDICAL SCIENCES, GUWAHATI",Assam,Kamrup Metro,www.aips.org.in,-,Urban,Affiliated College,Private Un-Aided,"SRIMANTA SANKARADEVA UNIVERSITY OF HEALTH SCIENCES, GUWAHATI",State Public University
C-26447,Patherkandi College of Education,Assam,Karimganj,www.patharkandibedcollege.org,1995,Rural,Affiliated College,Private Un-Aided,"Assam University, Silchar",Central University
C-8468,Womens College Tinsukia P.O. Tinsukia-786125,Assam,Tinsukia,https://wcttsk.ac.in/,1966,Urban,Affiliated College,State Government,"Dibrugarh University, Dibrugarh",State Public University
C-8467,Nandalal Borghoain City College P.O.Dibrugarh,Assam,Dibrugarh,www.nlbcitycollege.org.in,1992,Urban,Affiliated College,State Government,"Dibrugarh University, Dibrugarh",State Public University
C-8466,Jorhat Law College P.O. Jorhat,Assam,Jorhat,www.jorhatlawcollege.org,1964,Urban,Affiliated College,Local Body,"Dibrugarh University, Dibrugarh",State Public University
C-8465,J.D.S.G.College P.O. Bokakhat-785612,Assam,Golaghat,www.jdsgcollege.edu.in,1964,Rural,Affiliated College,State Government,"Dibrugarh University, Dibrugarh",State Public University
C-8462,College of Teacher Education P.O.Tulsiram Road Tinsukia-786125,Assam,Tinsukia,www.ctetinsukia.com,1993,Urban,Affiliated College,Private Un-Aided,"Dibrugarh University, Dibrugarh",State Public University
C-8460,Sadiya College ,Assam,Tinsukia,https://sadiyacollege.ac.in/,1982,Urban,Affiliated College,State Government,"Dibrugarh University, Dibrugarh",State Public University
C-8459,North Lakhimpur Law College. North Lakhimpur,Assam,Lakhimpur,www.nlplawcollege.org,1972,Urban,Affiliated College,Local Body,"Dibrugarh University, Dibrugarh",State Public University
C-8457,D.H.S.K. Law College P.O.Dibrugarh--786001,Assam,Dibrugarh,dhsklawcollege.in,1965,Urban,Affiliated College,Private Un-Aided,"Dibrugarh University, Dibrugarh",State Public University
C-8456,Dhemaji Commerce College P.O. Dhemaji-787057,Assam,Dhemaji,www.dhemajicommercecollege.edu.in,1982,Urban,Affiliated College,State Government,"Dibrugarh University, Dibrugarh",State Public University
C-8455,Chandra Kamal Bezbaruah Commerce College,Assam,Jorhat,www.ckbcc.ac.in,1965,Urban,Affiliated College,State Government,"Dibrugarh University, Dibrugarh",State Public University
C-8454,Tinsukia College P.O. Tinsukia-786125,Assam,Tinsukia,www.tinsukiacollege.in,1956,Urban,Affiliated College,State Government,"Dibrugarh University, Dibrugarh",State Public University
C-8453,Kamargaon College,Assam,Golaghat,www.kamargaoncollege.com,1972,Rural,Affiliated College,State Government,"Dibrugarh University, Dibrugarh",State Public University
C-8452,C.K.B. College P.O. Teok--785112,Assam,Jorhat,http://www.ckbcollegetok.com,1959,Rural,Affiliated College,State Government,"Dibrugarh University, Dibrugarh",State Public University
C-8399,"PGT College ,Bihpuria Lakhimpur-784161",Assam,Lakhimpur,http://www.bpgtc.in,1993,Urban,Affiliated College,Local Body,"Dibrugarh University, Dibrugarh",State Public University
C-8451,Kulajan College P.O.Kulajan Tinali,Assam,Dhemaji,kulajancollege.edu.in,1996,Rural,Affiliated College,Local Body,"Dibrugarh University, Dibrugarh",State Public University
C-8449,Jonai Science College P.O. Jonai Dist. Dhemaji Pin. 787060,Assam,Dhemaji,jonaisciencecollege.edu.in,2001,Rural,Affiliated College,Local Body,"Dibrugarh University, Dibrugarh",State Public University
C-8447,Jiadhal College. Dhemaji,Assam,Dhemaji,www.jiadhalcollege.co.in,1995,Rural,Affiliated College,Local Body,"Dibrugarh University, Dibrugarh",State Public University
C-8446,Sarupathar College P.O. Sarupathar-785601,Assam,Golaghat,sarupatharcollege.ac.in,1970,Urban,Affiliated College,State Government,"Dibrugarh University, Dibrugarh",State Public University
C-8398,Lakhimpur Commerce College. Lakhimpur,Assam,Lakhimpur,www.lccollege.edu.in,1972,Urban,Affiliated College,State Government,"Dibrugarh University, Dibrugarh",State Public University
C-8444,KBM College of Teacher Education. Jorhat,Assam,Jorhat,www.kbmcollege.co.in,1990,Rural,Affiliated College,Private Aided (Government Aided),"Dibrugarh University, Dibrugarh",State Public University
C-8443,Sibsagar Commerce College P.O. Sibsagar-- 785640,Assam,Sivasagar,www.sibsagarcommercecollege.org.in,1969,Urban,Affiliated College,State Government,"Dibrugarh University, Dibrugarh",State Public University
C-8442,Dhemaji Girls College P.O. Dhemaji- 787057,Assam,Dhemaji,www.dhemajigirlscollege.edu.in,1986,Rural,Affiliated College,Local Body,"Dibrugarh University, Dibrugarh",State Public University
C-8441,PG Training College P.O. Jorhat -785001,Assam,Jorhat,www.iasejorhat.in,1957,Urban,Affiliated College,State Government,"Dibrugarh University, Dibrugarh",State Public University
C-8440,Ujani Majuli Kherkatia College ,Assam,Majuli,www.umkcollege.in,1973,Rural,Affiliated College,State Government,"Dibrugarh University, Dibrugarh",State Public University
C-8438,Tinsukia Commerce College P.O.Tinsukia-786125,Assam,Tinsukia,www.tinsukiacommercecollege.edu.in,1972,Rural,Affiliated College,State Government,"Dibrugarh University, Dibrugarh",State Public University
C-68673,SANKOSH DEGREE COLLEGE GOSSAIGAON,Assam,Kokrajhar,rabihajidegreecollege.ac.in,-,Rural,Affiliated College,Private Aided (Government Aided),BODOLAND UNIVERSITY,State Public University
C-8396,Golaghat Commerce College P.O. Golaghat- 785621,Assam,Golaghat,www.golaghatcommercecollege.org,1972,Rural,Affiliated College,State Government,"Dibrugarh University, Dibrugarh",State Public University
C-54624,NETES INSTITUTE OF TECHNOLOGY AND SCIENCE,Assam,Kamrup,www.ngiguwahati.in,-,Rural,Affiliated College,Private Aided (Government Aided),ASSAM SCIENCE AND TECHNOLOGY UNIVERSITY,State Public University
C-8503,"Jorhat Kendriya Mahavidyalaya,Kenduguri, P.O. Jorhat-785001",Assam,Jorhat,www.jorhatkendriyamahavidyalaya.in,1981,Rural,Affiliated College,State Government,"Dibrugarh University, Dibrugarh",State Public University
C-65213,GOVERNMENT MODEL COLLGE DEITHOR KARBI ANGLONG,Assam,Karbi Anglong,https://gmcdeithor.ac.in,2020,Rural,Affiliated College,State Government,"Dibrugarh University, Dibrugarh",State Public University
C-17234,Hari Gayatri Das College,Assam,Kamrup,harigayatridascollege.in,1996,Urban,Affiliated College,Local Body,"Gauhati University, Guwahati",State Public University
C-64694,GOALPARA  PHARMACY  INSTITUTE,Assam,Goalpara,www.goalparapharmacyinstitute.com,-,Urban,Affiliated College,Private Aided (Government Aided),"SRIMANTA SANKARADEVA UNIVERSITY OF HEALTH SCIENCES, GUWAHATI",State Public University
C-26419,Rukasen College,Assam,Karbi Anglong,www.rukasen.com,1992,Rural,Affiliated College,Local Body,"Assam University, Silchar",Central University
C-17202,Chhamaria Anchalik College,Assam,Kamrup,www.cacollege.ac.in,1994,Rural,Affiliated College,State Government,"Gauhati University, Guwahati",State Public University
C-17369,U. N. Brahma College,Assam,Chirang,https://unbrahmacollege.edu.in/,2001,Urban,Affiliated College,State Government,BODOLAND UNIVERSITY,State Public University
C-17363,Basugaon College,Assam,Chirang,https://basugaoncollege.ac.in/,1986,Rural,Affiliated College,State Government,BODOLAND UNIVERSITY,State Public University
C-17195,Fakiragram College,Assam,Kokrajhar,www.fakiragramcollege.ac.in,1994,Rural,Affiliated College,State Government,BODOLAND UNIVERSITY,State Public University
C-17203,Sapatgram College,Assam,Dhubri,www.sapatgramcollege.in,1972,Rural,Affiliated College,State Government,"Gauhati University, Guwahati",State Public University
C-64696,NORTH EASTERN REGIONAL INSTITUTE OF WATER AND LAND MANAGEMENT,Assam,Sonitpur,https://neriwalm.gov.in/,1989,Rural,Affiliated College,Central Government,ASSAM SCIENCE AND TECHNOLOGY UNIVERSITY,State Public University
C-17205,Nalbari Law College,Assam,Nalbari,nalbarilawcollege.org,1981,Urban,Affiliated College,Local Body,"Gauhati University, Guwahati",State Public University
C-64698,SIPE LAW COLLEGE,Assam,Dibrugarh,sipe.in,2009,Rural,Affiliated College,Private Un-Aided,"Dibrugarh University, Dibrugarh",State Public University
C-17153,Swami Yogananda Giri College,Assam,Kokrajhar,www.sygcollege.ac.in,1994,Rural,Affiliated College,State Government,BODOLAND UNIVERSITY,State Public University
C-17366,Pub-Bongsor College,Assam,Kamrup,www.pubbongsorcollege.ac.in,1996,Rural,Affiliated College,State Government,"Gauhati University, Guwahati",State Public University
C-71186,ASIAN MISSION INSTITUTE OF PHARMACEUTICAL SCIENCE,Assam,Barpeta,www.asianmissionsinstitute.com,-,Rural,Affiliated College,Private Un-Aided,"SRIMANTA SANKARADEVA UNIVERSITY OF HEALTH SCIENCES, GUWAHATI",State Public University
C-17370,Chatia College,Assam,Sonitpur,www.chatiacollege.com,1982,Rural,Affiliated College,State Government,"Gauhati University, Guwahati",State Public University
C-17218,Kalaguru Bishnu Rabha Degree College,Assam,Udalguri,www.kbrdcollege.ac.in,1990,Rural,Affiliated College,State Government,BODOLAND UNIVERSITY,State Public University
C-65161,ST MARTHA INSTITUTE OF NURSING,Assam,Kamrup Metro,www.stmarthainstituteofnursing.com,2019,Urban,Affiliated College,Private Aided (Government Aided),"SRIMANTA SANKARADEVA UNIVERSITY OF HEALTH SCIENCES, GUWAHATI",State Public University
C-17368,Dr. Anita Baruah Sarma College of Education,Assam,Kamrup Metro,www.absbedcollege.com,2004,Urban,Affiliated College,Private Un-Aided,"Gauhati University, Guwahati",State Public University
C-49255,LACHIT BARPHOOKAN COMMERCE ACADEMY,Assam,Nagaon,www.lbcacademy.com,2013,Urban,Affiliated College,Private Un-Aided,"Gauhati University, Guwahati",State Public University
C-26407,NC Paul Memorial College,Assam,Cachar,www.vivekanandajuniorcollege.in,-,Rural,Affiliated College,Private Un-Aided,"Assam University, Silchar",Central University
C-61485,NEF College of Pharmacy,Assam,Kamrup Metro,nefcop.org,2018,Urban,Affiliated College,Private Un-Aided,"SRIMANTA SANKARADEVA UNIVERSITY OF HEALTH SCIENCES, GUWAHATI",State Public University
C-17356,Dhing College,Assam,Nagaon,www.dhingcollege.in,1965,Rural,Affiliated College,State Government,"Gauhati University, Guwahati",State Public University
C-49254,LAHARIGHAT COLLEGE,Assam,Marigaon,www.laharighatcollege.com,2000,Rural,Affiliated College,Local Body,"Gauhati University, Guwahati",State Public University
C-17365,Government Ayurvedic College,Assam,Kamrup Metro,gachguwahati.in,1948,Urban,Affiliated College,State Government,"SRIMANTA SANKARADEVA UNIVERSITY OF HEALTH SCIENCES, GUWAHATI",State Public University
C-64880,DON BOSCO COLLEGE DIPHU,Assam,Karbi Anglong,www.dbcdiphu.edu.in,2018,Rural,Affiliated College,Private Un-Aided,"Assam University, Silchar",Central University
C-71232,NAGAON MEDICAL COLLEGE AND HOSPITAL ,Assam,Nagaon,nagaonmcassam.org,-,Rural,Affiliated College,State Government,"SRIMANTA SANKARADEVA UNIVERSITY OF HEALTH SCIENCES, GUWAHATI",State Public University
C-17278,B.B. Kishan College,Assam,Baksa,bbkishancollege.ac.in,1978,Rural,Affiliated College,State Government,BODOLAND UNIVERSITY,State Public University
C-17264,"Commerce College, Kokrajhar",Assam,Kokrajhar,commercecollege.ac.in,1985,Urban,Affiliated College,State Government,BODOLAND UNIVERSITY,State Public University
C-17281,Janata College,Assam,Kokrajhar,www.janatacollege.co.in,1977,Rural,Affiliated College,State Government,BODOLAND UNIVERSITY,State Public University
C-17353,"Science College, Kokrajhar",Assam,Kokrajhar,www.sciencecollege.ac.in,1995,Urban,Affiliated College,State Government,BODOLAND UNIVERSITY,State Public University
C-17112,Bijni College,Assam,Chirang,www.bijnicollege.ac.in,1969,Urban,Affiliated College,State Government,BODOLAND UNIVERSITY,State Public University
C-17150,Salbari College,Assam,Baksa,www.salbaricollege.ac.in,1983,Rural,Affiliated College,State Government,BODOLAND UNIVERSITY,State Public University
C-17361,Asian Institute of Nursing Education,Assam,Kamrup Metro,www.aine.org.in,2004,Urban,Affiliated College,Private Un-Aided,"SRIMANTA SANKARADEVA UNIVERSITY OF HEALTH SCIENCES, GUWAHATI",State Public University
C-17122,Mushalpur College,Assam,Baksa,www.mushalpurcollege.ac.in,1993,Urban,Affiliated College,State Government,BODOLAND UNIVERSITY,State Public University
C-17261,Mahatma Gandhi College,Assam,Bongaigaon,mgcc.ac.in,1995,Rural,Affiliated College,State Government,"Gauhati University, Guwahati",State Public University
C-26405,Eastern Karbi Anglong College,Assam,Karbi Anglong,www.ekac.in,1997,Rural,Affiliated College,State Government,"Assam University, Silchar",Central University
C-26418,Patharkandi College,Assam,Karimganj,www.pkdc.ac.in,1990,Rural,Affiliated College,State Government,"Assam University, Silchar",Central University
