Aishe Code,Name,State,District,Website,Year Of Establishment,Location,College Type,Manegement,University Name,University Type
C-54376,"SRI VIJAYANANDA DEGREE COLLEGE, Machilipatnam",Andhra Pradesh,Krishna,srivijayanandacollegemtm.com,2015,Urban,Affiliated College,Private Un-Aided,"Krishna University, Machhlipattanam",State Public University
C-32718,"G.V.R.S Institute for Professional Studies, Guntur",Andhra Pradesh,Guntur,www.gvrgroupgnt.info,2002,Rural,Affiliated College,Private Un-Aided,"Acharya Nagarjuna University, Guntur",State Public University
C-30250,"Govt. Degree College, Rajampet",Andhra Pradesh,Annamayya,www.gdcrajampeta.edu.in,1980,Rural,Affiliated College,State Government,"Yogi Vemana University, Kadapa",State Public University
C-32736,"Indira Priyadarsni Law College, Ongole",Andhra Pradesh,Prakasam,iplawcollegeongole.in,1991,Urban,Affiliated College,Private Un-Aided,"Acharya Nagarjuna University, Guntur",State Public University
C-54943,SRI RAMACHANDRA DEGREE COLLEGE,Andhra Pradesh,Eluru,https://www.sites.google.com/site/sriramachandradegreecollege/,2009,Urban,Affiliated College,Private Un-Aided,"Adikavi Nannaya University, Rajahmundry, East Godawari",State Public University
C-55171,SV DEGREE COLLEGE,Andhra Pradesh,Kakinada,https://youtu.be/Dw0Vh-unvnA?si=tK3lfJc6b_k8nNGO,2014,Urban,Affiliated College,Private Un-Aided,"Adikavi Nannaya University, Rajahmundry, East Godawari",State Public University
C-39458,"Palnadu College of Education, Narayanapuram",Andhra Pradesh,Palnadu,www.palnadu.coe,2010,Rural,Affiliated College,Private Un-Aided,"Acharya Nagarjuna University, Guntur",State Public University
C-39478,"Vagdevi College of Pharmacy, Gurazala",Andhra Pradesh,Palnadu,www.vagdevigurazala.in,2004,Rural,Affiliated College,Private Aided (Government Aided),"Acharya Nagarjuna University, Guntur",State Public University
C-32642,Raghava Degree College - Ongole,Andhra Pradesh,Prakasam,www.raghavadegreecollege.com,1991,Urban,Affiliated College,Private Un-Aided,"Acharya Nagarjuna University, Guntur",State Public University
C-32683,Sri Gowthami Degree College Yerragondapalem,Andhra Pradesh,Prakasam,www.sgurides.org.in,1994,Rural,Affiliated College,Private Un-Aided,"Acharya Nagarjuna University, Guntur",State Public University
C-55329,S.V. College of Higher Education ,Andhra Pradesh,Y.S.R.,http://svdcmyd.website3.me,1994,Rural,Affiliated College,Private Un-Aided,"Yogi Vemana University, Kadapa",State Public University
C-39485,"Sri Siva Teja B.Ed College, Cumbum,Prakasam, District",Andhra Pradesh,Prakasam,www.sivatejacumbum.com,2014,Rural,Affiliated College,Private Un-Aided,"Acharya Nagarjuna University, Guntur",State Public University
C-24305,Sri Venkateswara Degree,Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,www.svdegreecollege.in,2014,Rural,Affiliated College,Private Un-Aided,"Adikavi Nannaya University, Rajahmundry, East Godawari",State Public University
C-24319,Sir C R Reddy College for Women,Andhra Pradesh,Eluru,sircrrwomen.ac.in,1987,Rural,Affiliated College,Private Un-Aided,"Adikavi Nannaya University, Rajahmundry, East Godawari",State Public University
C-27188,"Siddhardha Degree College, Katrenikona, E.G.Dist.",Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,www.siddhardha.co.in,2005,Rural,Affiliated College,Private Un-Aided,"Adikavi Nannaya University, Rajahmundry, East Godawari",State Public University
C-26360,"Santhinikethan College of Education, Kurnool",Andhra Pradesh,Kurnool,www.sncekrnl.com,2007,Rural,Affiliated College,Private Un-Aided,"Rayalaseema, University Kurnool",State Public University
C-32721,"M.V.R.S. Viveka Degree College, Tenali",Andhra Pradesh,Guntur,www.mvrsgroup.info,2012,Urban,Affiliated College,Private Un-Aided,"Acharya Nagarjuna University, Guntur",State Public University
C-32743,"N.N.R. & C.L. Degree College, Ongole",Andhra Pradesh,Prakasam,-,1998,Urban,Affiliated College,Private Un-Aided,"Acharya Nagarjuna University, Guntur",State Public University
C-32777,"Geetham Degree College, Ongole",Andhra Pradesh,Prakasam,www.geethamdegongole.com,2001,Urban,Affiliated College,Private Un-Aided,"Acharya Nagarjuna University, Guntur",State Public University
C-32786,"Erigineni Tirupati Naidu & Lakshmamma Degree College, Pamur",Andhra Pradesh,Prakasam,www.etnldc.com,1994,Rural,Affiliated College,Private Un-Aided,"Acharya Nagarjuna University, Guntur",State Public University
C-32773,"Sri Prathibha Degree College, Kandukur",Andhra Pradesh,Prakasam,www.spdc.com,2000,Urban,Affiliated College,Private Un-Aided,"Acharya Nagarjuna University, Guntur",State Public University
C-32744,"T.R.R. & S. Degree College, Piduguralla",Andhra Pradesh,Guntur,www.trrsdegree.com,2003,Urban,Affiliated College,Private Un-Aided,"Acharya Nagarjuna University, Guntur",State Public University
C-32753,"V.V. & M. College, Ongole",Andhra Pradesh,Prakasam,www.vvmcollegeongole.org,1972,Urban,Affiliated College,Private Un-Aided,"Acharya Nagarjuna University, Guntur",State Public University
